"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1621256511,0,0,0,0,0,1512,3439,3284,6881,1492,3391,3244,6785,20,48,40,96
1621256512,0,0,0,0,0,1532,3487,3324,6977,1512,3439,3284,6881,20,48,40,96
1621256513,0,0,0,0,0,1547,3523,3354,7049,1532,3487,3324,6977,15,36,30,72
1621256514,0,0,0,0,0,1567,3571,3394,7145,1547,3523,3354,7049,20,48,40,96
1621256515,0,0,0,0,0,1582,3607,3424,7217,1567,3571,3394,7145,15,36,30,72
1621256516,0,0,0,0,0,1602,3655,3464,7313,1582,3607,3424,7217,20,48,40,96
1621256517,0,0,0,0,0,1622,3702,3504,7407,1602,3655,3464,7313,20,47,40,94
1621256518,0,0,0,0,0,1637,3738,3534,7479,1622,3702,3504,7407,15,36,30,72
1621256519,0,0,0,0,0,1650,3769,3560,7541,1637,3738,3534,7479,13,31,26,62
1621256520,0,0,0,0,0,1672,3822,3604,7647,1650,3769,3560,7541,22,53,44,106
1621256521,0,0,0,0,0,1692,3870,3644,7743,1672,3822,3604,7647,20,48,40,96
1621256522,0,0,0,0,0,1712,3918,3684,7839,1692,3870,3644,7743,20,48,40,96
1621256523,0,0,0,0,0,1727,3954,3714,7911,1712,3918,3684,7839,15,36,30,72
1621256524,0,0,0,0,0,1745,3994,3750,7991,1727,3954,3714,7911,18,40,36,80
1621256527,0,0,0,0,0,1763,4037,3786,8077,1745,3994,3750,7991,18,43,36,86
1621256528,0,0,0,0,0,1809,4150,3879,8303,1763,4037,3786,8077,46,113,93,226
1621256529,0,0,0,0,0,1824,4186,3909,8375,1809,4150,3879,8303,15,36,30,72
1621256530,0,0,0,0,0,1844,4234,3949,8471,1824,4186,3909,8375,20,48,40,96
1621256531,0,0,0,0,0,1864,4281,3989,8565,1844,4234,3949,8471,20,47,40,94
1621256532,0,0,0,0,0,1879,4317,4019,8637,1864,4281,3989,8565,15,36,30,72
1621256533,0,0,0,0,0,1899,4365,4059,8733,1879,4317,4019,8637,20,48,40,96
1621256534,0,0,0,0,0,1914,4401,4089,8805,1899,4365,4059,8733,15,36,30,72
1621256535,0,0,0,0,0,1934,4447,4129,8900,1914,4401,4089,8805,20,46,40,95
1621256536,0,0,0,0,0,1954,4476,4169,8958,1934,4447,4129,8900,20,29,40,58
1621256537,0,0,0,0,0,1969,4513,4199,9032,1954,4476,4169,8958,15,37,30,74
1621256538,0,0,0,0,0,1989,4561,4239,9128,1969,4513,4199,9032,20,48,40,96
1621256539,0,0,0,0,0,2004,4596,4269,9198,1989,4561,4239,9128,15,35,30,70
1621256540,0,0,0,0,0,2024,4644,4309,9294,2004,4596,4269,9198,20,48,40,96
1621256541,0,0,0,0,0,2044,4692,4349,9390,2024,4644,4309,9294,20,48,40,96
1621256542,0,0,0,0,0,2059,4728,4379,9462,2044,4692,4349,9390,15,36,30,72
1621256543,0,0,0,0,0,2079,4776,4419,9558,2059,4728,4379,9462,20,48,40,96
1621256544,0,0,0,0,0,2094,4812,4449,9630,2079,4776,4419,9558,15,36,30,72
1621256545,0,0,0,0,0,2114,4859,4489,9724,2094,4812,4449,9630,20,47,40,94
1621256546,0,0,0,0,0,2134,4907,4529,9820,2114,4859,4489,9724,20,48,40,96
1621256547,0,0,0,0,0,2149,4941,4559,9891,2134,4907,4529,9820,15,34,30,71
1621256548,0,0,0,0,0,2169,4969,4599,9947,2149,4941,4559,9891,20,28,40,56
1621256549,0,0,0,0,0,2184,5005,4629,10019,2169,4969,4599,9947,15,36,30,72
1621256550,0,0,0,0,0,2204,5053,4669,10115,2184,5005,4629,10019,20,48,40,96
1621256551,0,0,0,0,0,2224,5091,4709,10194,2204,5053,4669,10115,20,38,40,79
1621256552,0,0,0,0,0,2239,5115,4739,10242,2224,5091,4709,10194,15,24,30,48
1621256553,0,0,0,0,0,2259,5163,4779,10338,2239,5115,4739,10242,20,48,40,96
1621256554,0,0,0,0,0,2274,5198,4809,10408,2259,5163,4779,10338,15,35,30,70
1621256556,0,0,0,0,0,2295,5254,4851,10520,2274,5198,4809,10408,21,56,42,112
1621256557,0,0,0,0,0,2337,5354,4935,10720,2295,5254,4851,10520,42,100,84,200
1621256558,0,0,0,0,0,2347,5371,4955,10754,2337,5354,4935,10720,10,17,20,34
1621256559,0,0,0,0,0,2366,5418,4993,10848,2347,5371,4955,10754,19,47,38,94
1621256560,0,0,0,0,0,2386,5466,5033,10944,2366,5418,4993,10848,20,48,40,96
1621256561,0,0,0,0,0,2401,5502,5063,11016,2386,5466,5033,10944,15,36,30,72
1621256562,0,0,0,0,0,2422,5552,5105,11116,2401,5502,5063,11016,21,50,42,100
1621256563,0,0,0,0,0,2442,5599,5145,11210,2422,5552,5105,11116,20,47,40,94
1621256564,0,0,0,0,0,2456,5634,5173,11280,2442,5599,5145,11210,14,35,28,70
1621256565,0,0,0,0,0,2476,5682,5213,11376,2456,5634,5173,11280,20,48,40,96
1621256566,0,0,0,0,0,2491,5718,5243,11448,2476,5682,5213,11376,15,36,30,72
1621256567,0,0,0,0,0,2511,5765,5283,11542,2491,5718,5243,11448,20,47,40,94
1621256568,0,0,0,0,0,2526,5801,5313,11614,2511,5765,5283,11542,15,36,30,72
1621256569,0,0,0,0,0,2544,5844,5349,11700,2526,5801,5313,11614,18,43,36,86
1621256571,0,0,0,0,0,2559,5885,5379,11782,2544,5844,5349,11700,15,41,30,82
1621256572,0,0,0,0,0,2600,5976,5461,11964,2559,5885,5379,11782,41,91,82,182
1621256573,0,0,0,0,0,2619,6024,5499,12060,2600,5976,5461,11964,19,48,38,96
1621256574,0,0,0,0,0,2634,6060,5529,12132,2619,6024,5499,12060,15,36,30,72
1621256575,0,0,0,0,0,2654,6108,5569,12228,2634,6060,5529,12132,20,48,40,96
1621256576,0,0,0,0,0,2674,6155,5609,12322,2654,6108,5569,12228,20,47,40,94
1621256577,0,0,0,0,0,2689,6191,5639,12394,2674,6155,5609,12322,15,36,30,72
1621256578,0,0,0,0,0,2709,6239,5679,12490,2689,6191,5639,12394,20,48,40,96
1621256579,0,0,0,0,0,2726,6279,5713,12570,2709,6239,5679,12490,17,40,34,80
1621256580,0,0,0,0,0,2745,6325,5751,12662,2726,6279,5713,12570,19,46,38,92
1621256581,0,0,0,0,0,2760,6361,5781,12734,2745,6325,5751,12662,15,36,30,72
1621256582,0,0,0,0,0,2786,6426,5833,12864,2760,6361,5781,12734,26,65,52,130
1621256583,0,0,0,0,0,2797,6445,5855,12905,2786,6426,5833,12864,11,19,22,41
1621256584,0,0,0,0,0,2817,6476,5895,12967,2797,6445,5855,12905,20,31,40,62
1621256585,0,0,0,0,0,2832,6511,5925,13037,2817,6476,5895,12967,15,35,30,70
1621256586,0,0,0,0,0,2852,6559,5965,13133,2832,6511,5925,13037,20,48,40,96
1621256587,0,0,0,0,0,2872,6595,6005,13208,2852,6559,5965,13133,20,36,40,75
1621256588,0,0,0,0,0,2887,6621,6035,13260,2872,6595,6005,13208,15,26,30,52
1621256589,0,0,0,0,0,2907,6669,6075,13356,2887,6621,6035,13260,20,48,40,96
1621256590,0,0,0,0,0,2922,6705,6105,13428,2907,6669,6075,13356,15,36,30,72
1621256592,0,0,0,0,0,2963,6762,6147,13542,2922,6705,6105,13428,41,57,42,114
1621256593,0,0,0,0,0,2976,6833,6213,13685,2963,6762,6147,13542,13,71,66,143
1621256594,0,0,0,0,0,2996,6881,6253,13781,2976,6833,6213,13685,20,48,40,96
1621256595,0,0,0,0,0,3016,6929,6293,13877,2996,6881,6253,13781,20,48,40,96
1621256596,0,0,0,0,0,3033,6971,6327,13961,3016,6929,6293,13877,17,42,34,84
1621256597,0,0,0,0,0,3049,7008,6359,14035,3033,6971,6327,13961,16,37,32,74
1621256599,0,0,0,0,0,3071,7065,6403,14149,3049,7008,6359,14035,22,57,44,114
1621256600,0,0,0,0,0,3102,7107,6465,14234,3071,7065,6403,14149,31,42,62,85
1621256601,0,0,0,0,0,3122,7155,6505,14330,3102,7107,6465,14234,20,48,40,96
1621256602,0,0,0,0,0,3142,7203,6545,14426,3122,7155,6505,14330,20,48,40,96
1621256603,0,0,0,0,0,3157,7239,6575,14498,3142,7203,6545,14426,15,36,30,72
1621256604,0,0,0,0,0,3177,7287,6615,14594,3157,7239,6575,14498,20,48,40,96
1621256605,0,0,0,0,0,3192,7323,6645,14666,3177,7287,6615,14594,15,36,30,72
1621256606,0,0,0,0,0,3212,7371,6685,14762,3192,7323,6645,14666,20,48,40,96
1621256607,0,0,0,0,0,3232,7407,6725,14837,3212,7371,6685,14762,20,36,40,75
1621256608,0,0,0,0,0,3247,7434,6755,14891,3232,7407,6725,14837,15,27,30,54
1621256609,0,0,0,0,0,3267,7482,6795,14987,3247,7434,6755,14891,20,48,40,96
1621256610,0,0,0,0,0,3282,7518,6825,15059,3267,7482,6795,14987,15,36,30,72
1621256611,0,0,0,0,0,3302,7566,6865,15155,3282,7518,6825,15059,20,48,40,96
1621256612,0,0,0,0,0,3322,7614,6905,15251,3302,7566,6865,15155,20,48,40,96
1621256613,0,0,0,0,0,3337,7650,6935,15323,3322,7614,6905,15251,15,36,30,72
1621256614,0,0,0,0,0,3357,7698,6975,15419,3337,7650,6935,15323,20,48,40,96
1621256615,0,0,0,0,0,3372,7733,7005,15489,3357,7698,6975,15419,15,35,30,70
1621256616,0,0,0,0,0,3392,7781,7045,15585,3372,7733,7005,15489,20,48,40,96
1621256617,0,0,0,0,0,3412,7829,7085,15681,3392,7781,7045,15585,20,48,40,96
1621256618,0,0,0,0,0,3427,7865,7115,15753,3412,7829,7085,15681,15,36,30,72
1621256619,0,0,0,0,0,3447,7901,7155,15828,3427,7865,7115,15753,20,36,40,75
1621256620,0,0,0,0,0,3462,7927,7185,15880,3447,7901,7155,15828,15,26,30,52
1621256621,0,0,0,0,0,3482,7975,7225,15976,3462,7927,7185,15880,20,48,40,96
1621256622,0,0,0,0,0,3502,8022,7265,16070,3482,7975,7225,15976,20,47,40,94
1621256623,0,0,0,0,0,3522,8056,7305,16141,3502,8022,7265,16070,20,34,40,71
1621256624,0,0,0,0,0,3536,8082,7333,16193,3522,8056,7305,16141,14,26,28,52
1621256625,0,0,0,0,0,3556,8130,7373,16289,3536,8082,7333,16193,20,48,40,96
1621256626,0,0,0,0,0,3571,8166,7403,16361,3556,8130,7373,16289,15,36,30,72
